district,jiedao,juwei,project,address,match
静安区,江宁路街道,北京居委会,陕西北路535弄小区,陕西北路493弄、525弄、535弄,
静安区,江宁路街道,海防村居委会,康海大厦,西康路838弄,
静安区,江宁路街道,海防村居委会,海防村,海防路410弄,"""601a2f3a7e3a052fd499e83f"""
静安区,江宁路街道,海防村居委会,晶华苑,陕西北路1155弄,
静安区,江宁路街道,恒德里居委会,银华苑,胶州路358弄,
静安区,江宁路街道,恒德里居委会,绿阳邨,康定路733弄,
静安区,江宁路街道,恒德里居委会,凤凰苑,胶州路588号；昌平路777弄,
静安区,江宁路街道,恒德里居委会,康定路716弄小区,康定路716弄,
静安区,江宁路街道,淮安里居委会,康定路88弄小区,康定路88弄,
静安区,江宁路街道,蒋家巷居委会,东海园,昌平路428弄、    西康路658弄,"""601950ed7e3a052fd4978512"""
静安区,江宁路街道,蒋家巷居委会,兴海城,昌平路428弄、 昌平路418弄,
静安区,江宁路街道,蒋家巷居委会,大闻丽都,海防路387弄,
静安区,江宁路街道,景苑居委会,豪景苑,武定路650号、西康路501弄,
静安区,江宁路街道,景苑居委会,怡景苑,西康路339弄,
静安区,江宁路街道,景苑居委会,静安国际广场,新闸路1528弄,"""601950dd7e3a052fd49784f6"""
静安区,江宁路街道,景苑居委会,枫景苑,武定路801号、常德路500弄,"""60194dd27e3a052fd4977b59"""
静安区,江宁路街道,句容里居委会,海防路211号小区,海防路211号,
静安区,江宁路街道,句容里居委会,昌化路600弄小区,昌化路600弄,
静安区,江宁路街道,句容里居委会,天香公寓,江宁路826弄,"""60194fb77e3a052fd4978158"""
静安区,江宁路街道,句容里居委会,富容大厦,江宁路838弄,"""60194f797e3a052fd497807b"""
静安区,江宁路街道,句容里居委会,昌化路509弄小区,淮安路826弄、海防路217号、海防路223弄、海防路302弄、昌化路449号、昌化路509号、海防路199号、江宁路769弄、江宁路772号,
静安区,江宁路街道,句容里居委会,海防路100弄小区,海防路100弄,
静安区,江宁路街道,句容里居委会,江宁路906弄小区,江宁路906弄,
静安区,江宁路街道,句容里居委会,海防路223弄小区,海防路223弄,
静安区,江宁路街道,句容里居委会,福安大厦,海防路228弄；江宁路838弄；江宁路826弄,
静安区,江宁路街道,句容里居委会,海防路205号小区,海防路205号,
静安区,江宁路街道,联宝里居委会,德安大厦,常德路812,"""601a2f0b7e3a052fd499daf9"""
静安区,江宁路街道,联宝里居委会,东安公寓,昌平路645弄,"""60194fc77e3a052fd4978191"""
静安区,江宁路街道,联宝里居委会,君御豪庭,西康路633弄,"""601950ee7e3a052fd497851f"""
静安区,江宁路街道,三乐里居委会,三乐小区（昌化路400弄）,昌化路400弄、410弄、420弄、430弄,
静安区,江宁路街道,三乐里居委会,三乐小区（昌化路420弄）,昌化路400弄、410弄、420弄、430弄,
静安区,江宁路街道,三乐里居委会,三乐小区（昌平路88弄）,昌平路88弄、97号,
静安区,江宁路街道,三乐里居委会,三乐小区（淮安路687弄）,淮安路687弄、115号、693号、703号,
静安区,江宁路街道,三乐里居委会,新余村,昌平路250弄、252号,
静安区,江宁路街道,三星坊居委会,新格公寓,江宁路599弄,
静安区,江宁路街道,三星坊居委会,良清公寓,昌平路399弄,"""60194fc07e3a052fd4978172"""
静安区,江宁路街道,三星坊居委会,康定大厦,康定路460弄,"""60194fc17e3a052fd4978175"""
静安区,江宁路街道,三星坊居委会,联谊西康,西康路556弄,
静安区,江宁路街道,三星坊居委会,培兴小区,昌平路421弄、433号、439号,"""60194fb47e3a052fd497814f"""
静安区,江宁路街道,天河居委会,南草坪,泰兴路689弄,
静安区,江宁路街道,天河居委会,静安河滨,西苏州路85弄,
静安区,江宁路街道,天河居委会,天鼎花园,西苏州路65弄,"""601950e97e3a052fd497850c"""
静安区,江宁路街道,通安里居委会,武泰小区,泰兴路555号、567号,
静安区,江宁路街道,通安里居委会,泰府名邸,泰兴路625弄,"""60194e3e7e3a052fd4977c7d"""
静安区,江宁路街道,武定坊居委会,武定坊,武定路600弄；武定路576号；武定路580号；武定路584号；武定路588号,"""601950d57e3a052fd49784e4"""
静安区,江宁路街道,武定坊居委会,向新小区,康定路445弄,
静安区,江宁路街道,武定坊居委会,西康路446弄小区,西康路446弄,
静安区,江宁路街道,武定坊居委会,陕西北路729弄小区,陕西北路721弄；陕西北路729弄,
静安区,江宁路街道,武定坊居委会,西康路464弄小区,西康路464弄,
静安区,江宁路街道,武定坊居委会,南洋小区,武定路540弄；武定路530号,
静安区,江宁路街道,新安居委会,达安锦园（新丰路518弄）,新丰路518弄、海防路538弄,
静安区,江宁路街道,新安居委会,达安锦园（海防路538弄）,新丰路518弄、海防路538弄,
静安区,江宁路街道,新安居委会,新丰小区（180弄）,余姚路180弄、222弄、常德路1039弄、1057弄,
静安区,江宁路街道,新安居委会,梅山小区,安远路505弄5号、安远路501弄,
静安区,江宁路街道,新安居委会,新丰小区（222弄）,余姚路180弄、222弄、常德路1039弄、1057弄,
静安区,江宁路街道,新安居委会,新丰小区,安远路515弄、安远路607号、609号,"""601a2f347e3a052fd499e6f5"""
静安区,江宁路街道,新安居委会,安西小区,安远路389弄,"""601a2f317e3a052fd499e660"""
静安区,江宁路街道,永乐居委会,永昌大厦,余姚路19号，余姚路27号，西康路699弄1号，西康路699弄3号,"""601950d67e3a052fd49784e6"""
静安区,江宁路街道,永乐居委会,教师公寓,常德路999号、胶州路718弄,
静安区,江宁路街道,又一村居委会,常德路545弄小区,常德路545弄,
静安区,江宁路街道,又一村居委会,又一村,常德路519弄,
静安区,江宁路街道,又一村居委会,胶州路274弄小区,胶州路274弄,
静安区,江宁路街道,众乐里居委会,陕西北路653弄小区,陕西北路653弄；陕西北路663弄,
静安区,江宁路街道,众乐里居委会,江宁路401弄小区,江宁路401弄；江宁路363弄,
静安区,江宁路街道,众乐里居委会,武定路537弄小区,武定路537弄,
静安区,江宁路街道,众乐里居委会,陕西北路629弄小区,陕西北路629弄；陕西北路643弄；陕西北路617弄,
静安区,静安寺街道,百乐居委会,愚园路246弄小区,愚园路246弄,
静安区,静安寺街道,百乐居委会,申田大厦,北京西路1850号,
静安区,静安寺街道,海园居委会,长乐路930弄小区,长乐路930弄,
静安区,静安寺街道,华山居委会,美丽园,延安西路379弄,"""60194f6d7e3a052fd4978052"""
静安区,静安寺街道,华山居委会,延安西路421弄小区,延安西路421弄,
静安区,静安寺街道,华山居委会,广电大楼,长乐路1236弄,"""60194fa77e3a052fd4978121"""
静安区,静安寺街道,嘉园居委会,嘉园,万航渡路458号,"""601950d47e3a052fd49784df"""
静安区,静安寺街道,景华居委会,景华新村,巨鹿路820弄,"""601950c87e3a052fd49784be"""
静安区,静安寺街道,景华居委会,大胜胡同（229弄）,华山路229弄,
静安区,静安寺街道,景华居委会,大胜胡同（285弄）,华山路285弄,
静安区,静安寺街道,静安居委会,赵家桥小区(1585号),北京西路1585号,
静安区,静安寺街道,静安居委会,柳迎村,北京西路1729弄,"""60194f1d7e3a052fd4977f46"""
静安区,静安寺街道,静安居委会,赵家桥小区(1565号),北京西路1565号,
静安区,静安寺街道,美丽园居委会,华怡小区,延安西路150弄,
静安区,静安寺街道,三义坊居委会,万航渡路175弄小区,万航渡路175弄,
静安区,静安寺街道,三义坊居委会,三义坊,新闸路1911弄,"""601950c57e3a052fd49784b5"""
静安区,静安寺街道,三义坊居委会,新闸大厦,新闸路1851号,"""60194fa47e3a052fd4978118"""
静安区,静安寺街道,四明居委会,愚园路608弄小区,愚园路608弄,
静安区,静安寺街道,四明居委会,愚园路576弄小区,愚园路576弄,
静安区,静安寺街道,四明居委会,乌北路100弄小区,乌北路100弄,
静安区,静安寺街道,四明居委会,愚园路532弄小区,愚园路532弄,
静安区,静安寺街道,四明居委会,愚园路488弄小区,愚园路488弄,
静安区,静安寺街道,愚谷村居委会,愚园路627弄小区,愚园路627弄,
静安区,静安寺街道,愚谷村居委会,愚园坊,愚园路483弄,"""60194fa87e3a052fd4978125"""
静安区,静安寺街道,愚谷村居委会,愚园路541弄小区,愚园路541弄,
静安区,静安寺街道,愚谷村居委会,中实新村,愚园路579弄,"""60194f9f7e3a052fd4978105"""
静安区,静安寺街道,愚谷村居委会,愚谷村,愚园路361弄,"""601950b97e3a052fd497848f"""
静安区,静安寺街道,裕华居委会,长乐新村,长乐路764弄,"""60194fa97e3a052fd4978128"""
静安区,静安寺街道,裕华居委会,南华新村,长乐路774弄,
静安区,静安寺街道,裕华居委会,常熟路113弄小区,常熟路113弄,
静安区,南京西路街道,古柏居委会,长乐路638弄/614弄/44弄小区,长乐路638弄/614弄/44弄,
静安区,南京西路街道,古柏居委会,富民路255弄小区,富民路255弄,
静安区,南京西路街道,古柏居委会,巨鹿路717弄-788弄小区,巨鹿路717弄-788弄,
静安区,南京西路街道,古柏居委会,襄阳路6号小区,襄阳路6号,
静安区,南京西路街道,古柏居委会,长乐路672弄小区,长乐路672弄,
静安区,南京西路街道,古柏居委会,古柏小区,富民路197弄,"""601950d17e3a052fd49784d5"""
静安区,南京西路街道,古柏居委会,长乐路660弄小区,长乐路660弄,
静安区,南京西路街道,华业居委会,南京西路1213弄小区,南京西路1213弄,
静安区,南京西路街道,华业居委会,林村,威海路910弄,"""601950897e3a052fd49783f6"""
静安区,南京西路街道,华业居委会,陕西北路141弄14号小区,陕西北路141弄14号,
静安区,南京西路街道,华业居委会,华业大楼,陕西北路173号中部北部南部,
静安区,南京西路街道,华业居委会,陕西北路119弄小区,陕西北路119弄,
静安区,南京西路街道,华业居委会,慈惠南里,延安中路930弄28号,"""6019505d7e3a052fd497836c"""
静安区,南京西路街道,联华居委会,联华公寓,铜仁路314、320、304、330 南阳路208、216、328 北京西路1345、1369、1357、1377、1383、1351,"""601950997e3a052fd4978432"""
静安区,南京西路街道,联华居委会,南京西路1522弄小区,南京西路1522弄,
静安区,南京西路街道,联华居委会,南阳小区,南阳路183号,"""601950a67e3a052fd497845f"""
静安区,南京西路街道,茂北居委会,静安别墅,威海路640号-692号、南京西路1025号-1045号,"""601950a57e3a052fd497845b"""
静安区,南京西路街道,陕北居委会,北京西路1177弄-1237弄小区,北京西路1177弄-1237弄,
静安区,南京西路街道,陕北居委会,奉贤路290弄-320弄小区,陕西北路342弄及354弄,
静安区,南京西路街道,陕北居委会,陕西北路342弄小区,陕西北路342弄,
静安区,南京西路街道,陕北居委会,京西大楼,北京西路1065弄,"""601950957e3a052fd4978429"""
静安区,南京西路街道,陕北居委会,江宁大楼,江宁路83弄4号,"""601950847e3a052fd49783ea"""
静安区,南京西路街道,升平居委会,石门一路67弄小区,石门一路67弄,
静安区,南京西路街道,升平居委会,延安中路632弄小区,延安中路632弄,
静安区,南京西路街道,升平居委会,升平街41弄小区,升平街41弄,
静安区,南京西路街道,升平居委会,升平街79弄小区,升平街79弄,
静安区,南京西路街道,升平居委会,茂名北路90弄/112弄/118弄小区,茂名北路90弄|茂名北路112弄|茂名北路118弄,
静安区,南京西路街道,泰兴居委会,张家花园,威海路590弄,
静安区,南京西路街道,威海居委会,太阳公寓,威海路647弄,
静安区,南京西路街道,威海居委会,九福新村,茂名北路111弄-165弄,
静安区,南京西路街道,威海居委会,康乐村,延安中路740弄,"""6019506c7e3a052fd4978395"""
静安区,南京西路街道,新成居委会,新成小区,南京西路591弄,
静安区,南京西路街道,新成居委会,洪伟大楼,成都北路337号,
静安区,南京西路街道,延中居委会,四明村,延安中路913弄,
静安区,南京西路街道,延中居委会,巨鹿路516弄小区,巨鹿路500号、504号、506号、516弄、536号、540号542号546弄、550号,
静安区,南京西路街道,延中居委会,富民公寓,延安中路1003号、1005号，富民路49号、55弄,"""601950c87e3a052fd49784c0"""
静安区,南京西路街道,延中居委会,巨鹿路748号小区,巨鹿路748号,
静安区,南京西路街道,延中居委会,模范村,延安中路877弄,"""60194fa47e3a052fd497811a"""
静安区,南京西路街道,延中居委会,陕西南路70弄小区,陕西南路72号、80号,
静安区,南京西路街道,延中居委会,延安中路955弄小区,延安中路955弄,
静安区,南京西路街道,延中居委会,四方新城,巨鹿路568号,"""601950d17e3a052fd49784db"""
静安区,南京西路街道,中凯居委会,汾阳坊,延安中路540弄,"""601950547e3a052fd497834f"""
静安区,南京西路街道,中凯居委会,中华新村,大沽路489弄5号,
静安区,南京西路街道,中凯居委会,中凯城市之光,大沽路368弄；大沽路398弄：威海路333弄,
静安区,南京西路街道,中凯居委会,多福里,延安中路504弄,
静安区,南京西路街道,重华居委会,安乐坊,南京西路1129弄,"""601950807e3a052fd49783da"""
静安区,南京西路街道,重华居委会,重华小区,南京西路1081弄,
静安区,南京西路街道,重华居委会,陕西北路204号小区,陕西北路204号,
静安区,南京西路街道,重华居委会,花园公寓,南京西路1173弄,
静安区,石门二路街道,达安城居委会,达安城,新闸路777弄,"""601950af7e3a052fd4978472"""
静安区,石门二路街道,东斯文居委会,良友高层,南苏州路1393弄1号,"""6019508c7e3a052fd4978408"""
静安区,石门二路街道,东王居委会,王家沙花苑,北京西路605弄、凤阳路644弄、624弄、724弄,"""6019509d7e3a052fd4978441"""
静安区,石门二路街道,奉贤居委会,大华公寓,奉贤路148弄、南京西路862、868弄,
静安区,石门二路街道,奉贤居委会,西王小区（奉贤路68弄）,奉贤路68弄、北京西路707弄、石门二路69-83号,
静安区,石门二路街道,奉贤居委会,西王小区（北京西路707弄）,北京西路707弄、奉贤路68弄、石门二路69-83号,
静安区,石门二路街道,奉贤居委会,南汇小区,泰兴路227弄、奉贤路170-198号、193-195号；北京西路985-1007号；南汇路34、72、85号,
静安区,石门二路街道,奉贤居委会,南西大楼,奉贤路183弄,"""6019507c7e3a052fd49783cb"""
静安区,石门二路街道,光明居委会,光明小区,成都北路1037弄,"""601950967e3a052fd497842b"""
静安区,石门二路街道,恒丰居委会,恒丰小区（康定东路53弄）,康定东路53弄、45弄、63弄、87弄和沿街,
静安区,石门二路街道,恒丰居委会,恒丰南北大楼,康定东路2号、石门二路503号,
静安区,石门二路街道,恒丰居委会,恒丰小区（泰兴路594弄）,泰兴路594弄、566弄、576弄、598弄、602号、624弄、560号,
静安区,石门二路街道,恒丰居委会,铁道部小区,武定路44弄、南大楼483号,
静安区,石门二路街道,恒丰居委会,太和小区,武定路80弄、康定东路3弄、13弄、33弄,"""601950807e3a052fd49783d7"""
静安区,石门二路街道,华沁居委会,沁园邨,新闸路1124弄,
静安区,石门二路街道,华沁居委会,远中风华,新闸路1068弄、武定路219弄、泰兴路519弄、昌化路20号,
静安区,石门二路街道,华沁居委会,中华新村,泰兴路445弄,
静安区,石门二路街道,华沁居委会,申银发展大厦,新闸路1098弄、武定路333号,
静安区,石门二路街道,华沁居委会,静安紫苑,江宁路356号、武定路355号,"""601950b47e3a052fd4978484"""
静安区,石门二路街道,西斯文居委会,顺德苑,顺德路92号、南苏州河路1539弄,"""601950a27e3a052fd4978454"""
静安区,石门二路街道,祥福居委会,祥福小区,石门二路170弄、154弄、186弄、158号、188号、190号、192号、194号,
静安区,石门二路街道,新德居委会,修德新村（493弄）,成都北路493弄、483、503、515、527弄,
静安区,石门二路街道,新德居委会,修德新村（503弄）,成都北路493弄、483、503、515、527弄,
静安区,石门二路街道,新德居委会,修德新村（515弄）,成都北路493弄、483、503、515、527弄,
静安区,石门二路街道,新德居委会,壹街区,凤阳路588弄,
静安区,石门二路街道,新福康里居委会,新福康里,新闸路888弄、泰兴路458弄、武定路89弄,
静安区,石门二路街道,张家宅居委会,福田村,北京西路810号、820号、泰兴路362弄,
静安区,石门二路街道,张家宅居委会,国际丽都,北京西路758弄、石门二路199弄,
静安区,石门二路街道,郑家巷居委会,康乐大楼,泰兴路315号,
静安区,石门二路街道,郑家巷居委会,新闸路1039弄小区,新闸路1039弄,
静安区,石门二路街道,郑家巷居委会,四维村,泰兴路341弄、355弄、369-373弄,
静安区,石门二路街道,郑家巷居委会,亚成大楼,新闸路1001弄,
静安北,宝山路街道,宝昌路六百弄居委会,宝昌路632弄小区,宝昌路632弄小区,
静安北,宝山路街道,宝昌路六百弄居委会,宝昌路600弄小区,宝昌路600弄小区,
静安北,宝山路街道,宝华里居委会,长信公寓,长信公寓,"""601951707e3a052fd49786c2"""
静安北,宝山路街道,宝华里居委会,久欣公寓,久欣公寓,"""601951a97e3a052fd4978795"""
静安北,宝山路街道,宝华里居委会,宝昌路520弄小区,宝昌路520弄小区,
静安北,宝山路街道,宝华里居委会,紫光苑,紫光苑,"""601951ad7e3a052fd49787a2"""
静安北,宝山路街道,宝华里居委会,富邑华庭,富邑华庭,"""601951a87e3a052fd497878f"""
静安北,宝山路街道,宝通居委会,中鸿大厦,中兴路571弄,"""601951b57e3a052fd49787bf"""
静安北,宝山路街道,存仁居委会,扬波大厦,扬波大厦,"""601951947e3a052fd4978747"""
静安北,宝山路街道,汉兴里居委会,志业小区,青云路315弄,
静安北,宝山路街道,汉兴里居委会,和颐苑,xhx0810@163.com,"""601951ab7e3a052fd4978799"""
静安北,宝山路街道,会铁居委会,会文路201弄小区,会文路201弄小区,
静安北,宝山路街道,会铁居委会,会铁小区,会铁小区,"""6019518f7e3a052fd4978731"""
静安北,宝山路街道,陆丰居委会,宝通公寓,宝通公寓,"""6019518a7e3a052fd4978720"""
静安北,宝山路街道,陆丰居委会,长征大厦,中兴路241弄,"""6019518f7e3a052fd4978736"""
静安北,宝山路街道,陆丰居委会,宝通大楼,陆丰路9号,"""601951887e3a052fd497871b"""
静安北,宝山路街道,青云路四三五弄居委会,广盛公寓,广盛公寓,"""601951b67e3a052fd49787c1"""
静安北,宝山路街道,儒林里居委会,南岭小区,虬江路888弄,
静安北,宝山路街道,儒林里居委会,虬江路909弄小区,虬江路909弄,
静安北,宝山路街道,儒林里居委会,东新大楼,东新大楼,"""601951947e3a052fd4978745"""
静安北,宝山路街道,三宝居委会,天吉小区,永兴路37弄,"""601951a07e3a052fd4978772"""
静安北,宝山路街道,通源居委会,包运大厦,宝通路239弄,"""6019519c7e3a052fd4978761"""
静安北,宝山路街道,通源居委会,和馨苑,宝通路157号,"""601951a17e3a052fd4978777"""
静安北,宝山路街道,通源居委会,申桂公寓,申桂公寓,"""6019518b7e3a052fd4978724"""
静安北,宝山路街道,芷江中路二九四弄居委会,志园公寓,止园路288弄,"""601951b47e3a052fd49787ba"""
静安北,宝山路街道,芷江中路二九四弄居委会,通阁路135弄小区,通阁路135弄小区,
静安北,宝山路街道,芷江中路二九四弄居委会,芷江公寓,芷江公寓,"""601951907e3a052fd497873c"""
静安北,北站街道,北高居委会,天东小区,天东小区,"""601951ae7e3a052fd49787a9"""
静安北,北站街道,蒙古路居委会,蒙古小区,蒙古小区,
静安北,北站街道,顺庆里居委会,联富公寓,山西北路222弄,
静安北,北站街道,新泰安里居委会,河滨豪园,河滨豪园,"""601951dc7e3a052fd4978838"""
静安北,北站街道,永顺居委会,华祺苑,华祺苑,"""601951e97e3a052fd4978863"""
静安北,大宁路街道,八方花苑居委会,八方花苑,大宁路700弄8-32号,
静安北,大宁路街道,宝华现代城居委会,泛欧现代大厦,共和新路2449号,"""60194dbe7e3a052fd4977b18"""
静安北,大宁路街道,宝华现代城居委会,宝华现代城,共和新路2399弄,"""60194df97e3a052fd4977bca"""
静安北,大宁路街道,宝华现代城居委会,广延路555弄,广延路555弄,
静安北,大宁路街道,慧芝湖花园居委会,慧芝湖花园,平型关路1083弄,"""60194dfd7e3a052fd4977bd3"""
静安北,大宁路街道,平型关路2199弄居委,粤绣名邸,平型关路2199弄,
静安北,大宁路街道,平型关路八零一弄居委会,峥宸苑,延长路99弄,"""60194de97e3a052fd4977b97"""
静安北,大宁路街道,平型关路八零一弄居委会,崇文苑,平型关路680弄,
静安北,大宁路街道,新梅共和城居委会,新梅共和城,广中西路99弄,"""601950f67e3a052fd497852f"""
静安北,大宁路街道,延长中路四五一弄居委会,快乐家苑,延长中路519弄,"""601a2ef57e3a052fd499d67a"""
静安北,大宁路街道,延峰居委会,曙光小区,延长中路561号,
静安北,大宁路街道,延铁新村居委会,新世纪公寓,延长中路576号,"""60194dc97e3a052fd4977b38"""
静安北,共和新路街道,和乐居委会,和诚公寓,西藏北路1388弄|俞泾港路54号,"""6019523b7e3a052fd4978955"""
静安北,共和新路街道,和乐居委会,申地苑,平型关路68弄,"""601952417e3a052fd4978963"""
静安北,共和新路街道,和乐居委会,振和公寓,柳营路328弄,"""6019523a7e3a052fd4978953"""
静安北,共和新路街道,和乐居委会,和兰苑,中山北路355弄,"""601952447e3a052fd4978970"""
静安北,共和新路街道,和乐居委会,和田公寓,陈家宅路12弄,"""6019522e7e3a052fd4978931"""
静安北,共和新路街道,和乐居委会,和玉苑,西藏北路1308弄,"""601952467e3a052fd4978976"""
静安北,共和新路街道,和乐居委会,乐业公寓,俞泾港路15弄,"""6019523f7e3a052fd497895e"""
静安北,共和新路街道,沪北新村居委会,沪太路631、651弄小区,沪太路631、651弄,
静安北,共和新路街道,沪北新村居委会,金纺小区,沪太路655弄,"""60194dd67e3a052fd4977b64"""
静安北,共和新路街道,家豪城居委会,福泰公寓,柳营路717弄,"""60194dc57e3a052fd4977b33"""
静安北,共和新路街道,家豪城居委会,惠龙公寓,柳营路635弄,"""60194dcd7e3a052fd4977b49"""
静安北,共和新路街道,家豪城居委会,盛源家豪城,柳营路669弄,"""60194df77e3a052fd4977bc8"""
静安北,共和新路街道,家豪城居委会,柳营路629弄小区,柳营路629弄,
静安北,共和新路街道,嘉利居委会,嘉利明珠城,平型关路377弄（延长路38号）,"""6019524a7e3a052fd4978981"""
静安北,共和新路街道,锦灏居委会,富甸园,延长路128弄,
